,Unnamed: 0,VIVIENDA_REF_ID,RADIO_REF_ID,TIPVV,V01,V02,V00,URP,INCALSERV,INMAT,MUNI,LOCAL,INCALCONS,TOTHOG,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDPTO,RC10
204076,204076,8364853,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204077,204077,8364854,29442,1,1,1,0,1,1,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204078,204078,8364855,29442,1,1,1,0,1,1,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204079,204079,8364856,29442,1,1,1,0,1,1,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204080,204080,8364857,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204081,204081,8364858,29442,1,1,1,0,1,1,1,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204082,204082,8364859,29442,1,1,1,0,1,1,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204083,204083,8364860,29442,1,1,1,0,1,1,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204084,204084,8364861,29442,1,1,2,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204085,204085,8364862,29442,1,1,1,0,1,1,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204086,204086,8364863,29442,1,1,1,0,1,1,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204087,204087,8364864,29442,1,1,1,0,1,1,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204088,204088,8364865,29442,1,1,1,0,1,1,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204089,204089,8364866,29442,1,1,7,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
